suburb,postcode,median_house_price_aud,median_house_rent_per_week_aud,house_gross_yield_pct,house_price_growth_12m_pct,source_url
Kensington,3031,1127500,700,3.4,6.9,https://www.realestate.com.au/vic/kensington-3031/
Kew,3101,2595000,1150,2.4,-1.2,https://www.realestate.com.au/vic/kew-3101/
Kew East,3102,2300000,995,2.3,6.4,https://www.realestate.com.au/vic/kew-east-3102/
Keysborough,3173,965000,720,3.9,6.3,https://www.realestate.com.au/vic/keysborough-3173/
Kilsyth,3137,849500,650,3.9,5.7,https://www.realestate.com.au/vic/kilsyth-3137/
Kilsyth South,3137,1080000,715,3.6,-2.4,https://www.realestate.com.au/vic/kilsyth-south-3137/
Kings Park,3021,666500,500,3.8,7.5,https://www.realestate.com.au/vic/kings-park-3021/
Kingsbury,3083,865000,550,3.3,8.5,https://www.realestate.com.au/vic/kingsbury-3083/
Kingsville,3012,1195000,728,3.2,-3.3,https://www.realestate.com.au/vic/kingsville-3012/
Knoxfield,3180,1026000,660,3.5,9.2,https://www.realestate.com.au/vic/knoxfield-3180/
Kooyong,3144,4535000,1375,2.4,-5.9,https://www.realestate.com.au/vic/kooyong-3144/
Lalor,3075,775000,533,3.7,9.9,https://www.realestate.com.au/vic/lalor-3075/
Langwarrin,3910,900000,650,3.9,5.3,https://www.realestate.com.au/vic/langwarrin-3910/
Laverton,3028,620000,435,3.9,5.1,https://www.realestate.com.au/vic/laverton-3028/
Lilydale,3140,900000,610,3.8,7.3,https://www.realestate.com.au/vic/lilydale-3140/
Lower Plenty,3093,1390000,630,2.9,-12.4,https://www.realestate.com.au/vic/lower-plenty-3093/
Lynbrook,3975,880000,625,3.8,13.2,https://www.realestate.com.au/vic/lynbrook-3975/
Lyndhurst,3975,981000,650,3.7,6.1,https://www.realestate.com.au/vic/lyndhurst-3975/
Lysterfield,3156,1453000,650,3.6,7.6,https://www.realestate.com.au/vic/lysterfield-3156/
Macleod,3085,1201000,623,3,7.7,https://www.realestate.com.au/vic/macleod-3085/
Maidstone,3012,862250,630,3.8,4.5,https://www.realestate.com.au/vic/maidstone-3012/
Malvern,3144,2572500,1225,2.6,-19.6,https://www.realestate.com.au/vic/malvern-3144/
Malvern East,3145,2140000,818,2.9,4,https://www.realestate.com.au/vic/malvern-east-3145/
Mambourin,3024,645500,450,3.7,3.7,https://www.realestate.com.au/vic/mambourin-3024/
Manor Lakes,3024,659125,465,3.8,3.3,https://www.realestate.com.au/vic/manor-lakes-3024/
Maribyrnong,3032,1000000,700,3.7,-9.1,https://www.realestate.com.au/vic/maribyrnong-3032/
McCrae,3938,1230000,715,3.3,1.4,https://www.realestate.com.au/vic/mccrae-3938/
McKinnon,3204,1856000,1070,2.7,3.4,https://www.realestate.com.au/vic/mckinnon-3204/
Meadow Heights,3048,680000,520,4.2,13.3,https://www.realestate.com.au/vic/meadow-heights-3048/
Melbourne,3000,465000,650,2.3,-57.7,https://www.realestate.com.au/vic/melbourne-3000/
Melbourne Airport,3045,,,,,https://www.realestate.com.au/vic/melbourne-airport-3045/
Melton,3337,548000,410,3.9,14.8,https://www.realestate.com.au/vic/melton-3337/
Melton South,3338,580000,420,3.8,11.5,https://www.realestate.com.au/vic/melton-south-3338/
Melton West,3337,610000,430,3.7,12.6,https://www.realestate.com.au/vic/melton-west-3337/
Mentone,3194,1365000,795,3.3,3,https://www.realestate.com.au/vic/mentone-3194/
Mernda,3754,736900,550,3.8,5.3,https://www.realestate.com.au/vic/mernda-3754/
Mickleham,3064,705000,530,4,4.4,https://www.realestate.com.au/vic/mickleham-3064/
Middle Park,3206,3202500,1100,2.4,22.2,https://www.realestate.com.au/vic/middle-park-3206/
Mill Park,3082,858000,560,3.6,8.6,https://www.realestate.com.au/vic/mill-park-3082/
Mitcham,3132,1250000,650,3,8.7,https://www.realestate.com.au/vic/mitcham-3132/
Mont Albert,3127,2417500,750,2.5,-0.4,https://www.realestate.com.au/vic/mont-albert-3127/
Mont Albert North,3129,1780000,850,2.7,12,https://www.realestate.com.au/vic/mont-albert-north-3129/
Montmorency,3094,1180000,695,3.1,4.9,https://www.realestate.com.au/vic/montmorency-3094/
Montrose,3765,1000000,665,3.7,6.2,https://www.realestate.com.au/vic/montrose-3765/
Moonee Ponds,3039,1565000,750,3.2,4.3,https://www.realestate.com.au/vic/moonee-ponds-3039/
Moorabbin,3189,1303750,815,3.5,3.8,https://www.realestate.com.au/vic/moorabbin-3189/
Moorabbin Airport,3194,,,,,https://www.realestate.com.au/vic/moorabbin-airport-3194/
Mooroolbark,3138,862000,630,3.9,5.5,https://www.realestate.com.au/vic/mooroolbark-3138/
Mordialloc,3195,1366000,800,3.2,6.3,https://www.realestate.com.au/vic/mordialloc-3195/
Mornington,3931,1155000,730,3.4,6.5,https://www.realestate.com.au/vic/mornington-3931/
Mount Eliza,3930,1700000,1000,3.2,5.4,https://www.realestate.com.au/vic/mount-eliza-3930/
Mount Evelyn,3796,906000,620,3.7,8.2,https://www.realestate.com.au/vic/mount-evelyn-3796/
Mount Martha,3934,1450000,845,3.4,4.7,https://www.realestate.com.au/vic/mount-martha-3934/
Mount Waverley,3149,1650000,750,2.5,1.5,https://www.realestate.com.au/vic/mount-waverley-3149/
Mulgrave,3170,1140000,670,3.3,5.6,https://www.realestate.com.au/vic/mulgrave-3170/
Murrumbeena,3163,1656944,830,2.9,2.3,https://www.realestate.com.au/vic/murrumbeena-3163/
Narre Warren,3805,815000,580,3.8,8.7,https://www.realestate.com.au/vic/narre-warren-3805/
Narre Warren North,3804,1625000,765,2.8,-6.2,https://www.realestate.com.au/vic/narre-warren-north-3804/
Narre Warren South,3805,865000,620,3.8,7.1,https://www.realestate.com.au/vic/narre-warren-south-3805/
Newport,3015,1250000,720,3.3,0,https://www.realestate.com.au/vic/newport-3015/
Niddrie,3042,1250000,700,3,-0.8,https://www.realestate.com.au/vic/niddrie-3042/
Noble Park,3174,837000,575,3.8,8.7,https://www.realestate.com.au/vic/noble-park-3174/
Noble Park North,3174,822500,570,4,5.5,https://www.realestate.com.au/vic/noble-park-north-3174/
North Melbourne,3051,1240000,780,3.5,-4.6,https://www.realestate.com.au/vic/north-melbourne-3051/
North Warrandyte,3113,1400000,845,3.2,-4.4,https://www.realestate.com.au/vic/north-warrandyte-3113/
Northcote,3070,1742500,850,2.9,8.6,https://www.realestate.com.au/vic/northcote-3070/
Notting Hill,3168,1171000,693,2.5,2.9,https://www.realestate.com.au/vic/notting-hill-3168/
Nunawading,3131,1185000,655,3.2,0.9,https://www.realestate.com.au/vic/nunawading-3131/
Oak Park,3046,1150100,650,3.5,6.2,https://www.realestate.com.au/vic/oak-park-3046/
Oakleigh,3166,1410000,683,2.8,10.6,https://www.realestate.com.au/vic/oakleigh-3166/
Oakleigh East,3166,1196000,650,2.8,1.8,https://www.realestate.com.au/vic/oakleigh-east-3166/
Oakleigh South,3167,1255000,745,3.3,7.3,https://www.realestate.com.au/vic/oakleigh-south-3167/
Officer,3809,755000,590,4.2,5.2,https://www.realestate.com.au/vic/officer-3809/
Pakenham,3810,712000,550,4.1,9.1,https://www.realestate.com.au/vic/pakenham-3810/
Park Orchards,3114,1915000,1275,3.3,-8.6,https://www.realestate.com.au/vic/park-orchards-3114/
Parkdale,3195,1628500,800,3.1,11.5,https://www.realestate.com.au/vic/parkdale-3195/
Parkville,3052,1796944,1100,2.9,4,https://www.realestate.com.au/vic/parkville-3052/
Pascoe Vale,3044,1151000,640,3.2,9.6,https://www.realestate.com.au/vic/pascoe-vale-3044/
Pascoe Vale South,3044,1300000,700,3,9.1,https://www.realestate.com.au/vic/pascoe-vale-south-3044/
Patterson Lakes,3197,1335000,863,3.6,11.3,https://www.realestate.com.au/vic/patterson-lakes-3197/
Plumpton,3335,,,,,https://www.realestate.com.au/vic/plumpton-3335/
Point Cook,3030,820000,570,3.6,8.1,https://www.realestate.com.au/vic/point-cook-3030/
Port Melbourne,3207,1550000,970,3.2,-0.1,https://www.realestate.com.au/vic/port-melbourne-3207/
Portsea,3944,2825000,850,2.4,-24.7,https://www.realestate.com.au/vic/portsea-3944/
Prahran,3181,1600000,900,3.1,0.3,https://www.realestate.com.au/vic/prahran-3181/
Princes Hill,3054,1895000,988,2.9,11.1,https://www.realestate.com.au/vic/princes-hill-3054/
Research,3095,1716250,750,3.3,13.3,https://www.realestate.com.au/vic/research-3095/
Reservoir,3073,950000,580,3.3,5.6,https://www.realestate.com.au/vic/reservoir-3073/
Richmond,3121,1365000,875,3.4,-0.9,https://www.realestate.com.au/vic/richmond-3121/
Ringwood,3134,1041000,650,3.4,3.3,https://www.realestate.com.au/vic/ringwood-3134/
Ringwood East,3135,1020000,630,3.5,1.7,https://www.realestate.com.au/vic/ringwood-east-3135/
Ringwood North,3134,1275000,695,3.1,6.7,https://www.realestate.com.au/vic/ringwood-north-3134/
Ripponlea,3185,1735000,840,2.7,-13,https://www.realestate.com.au/vic/ripponlea-3185/
Rockbank,3335,632500,480,4.1,1.6,https://www.realestate.com.au/vic/rockbank-3335/
Rosanna,3084,1419000,708,2.8,3.4,https://www.realestate.com.au/vic/rosanna-3084/
Rosebud,3939,800000,575,3.9,3.9,https://www.realestate.com.au/vic/rosebud-3939/
Rowville,3178,1160000,695,3.5,10.5,https://www.realestate.com.au/vic/rowville-3178/
Roxburgh Park,3064,720000,560,4.1,9.3,https://www.realestate.com.au/vic/roxburgh-park-3064/
Rye,3941,950000,600,3.7,-0.5,https://www.realestate.com.au/vic/rye-3941/
Safety Beach,3936,1153000,750,3.4,0.3,https://www.realestate.com.au/vic/safety-beach-3936/
Sandhurst,3977,1100000,750,3.8,8.4,https://www.realestate.com.au/vic/sandhurst-3977/
Sandringham,3191,2010000,1198,2.8,-2,https://www.realestate.com.au/vic/sandringham-3191/
Sassafras,3787,975000,770,3.5,4.8,https://www.realestate.com.au/vic/sassafras-3787/
Scoresby,3179,1008800,630,3.4,3.5,https://www.realestate.com.au/vic/scoresby-3179/
Seabrook,3028,781500,530,3.9,3.9,https://www.realestate.com.au/vic/seabrook-3028/
Seaford,3198,910000,620,3.7,9.6,https://www.realestate.com.au/vic/seaford-3198/
Seaholme,3018,1350000,685,3,9.3,https://www.realestate.com.au/vic/seaholme-3018/
Seddon,3011,1100000,700,3.3,0,https://www.realestate.com.au/vic/seddon-3011/
Selby,3159,892670,725,3.9,5,https://www.realestate.com.au/vic/selby-3159/
Skye,3977,860000,650,4,8.9,https://www.realestate.com.au/vic/skye-3977/
Somerton,3062,,,,,https://www.realestate.com.au/vic/somerton-3062/
Sorrento,3943,1838500,795,2.6,2.1,https://www.realestate.com.au/vic/sorrento-3943/
South Kingsville,3015,1050000,700,3.5,-0.7,https://www.realestate.com.au/vic/south-kingsville-3015/
South Melbourne,3205,1700000,840,3.2,11.8,https://www.realestate.com.au/vic/south-melbourne-3205/
South Morang,3752,792000,550,3.8,9.7,https://www.realestate.com.au/vic/south-morang-3752/
