suburb,postcode,median_house_price_aud,median_house_rent_per_week_aud,sales_price_growth_pct_yoy,rental_price_growth_pct_yoy,source_url
Kelmscott,6111,718000,640,19.6,6.7,https://reiwa.com.au/suburb/kelmscott/
Kensington,6151,1580000,850,9.7,-1.2,https://reiwa.com.au/suburb/kensington/
Kenwick,6107,740000,640,18.4,1.6,https://reiwa.com.au/suburb/kenwick/
Keralup,N/A,,,,,https://reiwa.com.au/suburb/keralup/
Kewdale,6105,920000,755,22.7,16.2,https://reiwa.com.au/suburb/kewdale/
Keysbrook,6126,,,,,https://reiwa.com.au/suburb/keysbrook/
Kiara,6054,900000,835,26.8,22.8,https://reiwa.com.au/suburb/kiara/
Kingsley,6026,1160000,830,18.4,6.4,https://reiwa.com.au/suburb/kingsley/
Kinross,6028,985000,750,13.5,7.1,https://reiwa.com.au/suburb/kinross/
Koondoola,6064,738000,665,17.2,10.8,https://reiwa.com.au/suburb/koondoola/
Koongamia,6056,650000,650,13,8.3,https://reiwa.com.au/suburb/koongamia/
Kwinana Beach,6167,,,,,https://reiwa.com.au/suburb/kwinana-beach/
Kwinana Town Centre,6167,643000,630,9.8,5,https://reiwa.com.au/suburb/kwinana-town-centre/
Lake Coogee,6166,1060000,825,11.8,3.5,https://reiwa.com.au/suburb/lake-coogee/
Landsdale,6065,1120000,860,22.7,0.6,https://reiwa.com.au/suburb/landsdale/
Langford,6147,735000,650,15.7,1.6,https://reiwa.com.au/suburb/langford/
Lathlain,6100,1200000,875,21.1,21.5,https://reiwa.com.au/suburb/lathlain/
Leda,6170,737000,620,18.9,0,https://reiwa.com.au/suburb/leda/
Leederville,6007,1650000,815,14,-8.1,https://reiwa.com.au/suburb/leederville/
Leeming,6149,1417500,900,15.7,15.4,https://reiwa.com.au/suburb/leeming/
Lesmurdie,6076,1085000,680,9,-2.9,https://reiwa.com.au/suburb/lesmurdie/
Lexia,6079,,,,,https://reiwa.com.au/suburb/lexia/
Lockridge,6054,757500,637,24.1,9.8,https://reiwa.com.au/suburb/lockridge/
Lynwood,6147,830000,700,18.6,7.7,https://reiwa.com.au/suburb/lynwood/
Maddington,6109,725000,690,17.9,9.5,https://reiwa.com.au/suburb/maddington/
Madeley,6065,1130000,800,21.6,6.7,https://reiwa.com.au/suburb/madeley/
Mahogany Creek,6072,873000,,-8.2,,https://reiwa.com.au/suburb/mahogany-creek/
Maida Vale,6057,938000,850,16.9,21.4,https://reiwa.com.au/suburb/maida-vale/
Malaga,6090,,,,,https://reiwa.com.au/suburb/malaga/
Mandogalup,6167,960000,780,17.4,5.4,https://reiwa.com.au/suburb/mandogalup/
Manning,6152,1560000,900,19.6,9.1,https://reiwa.com.au/suburb/manning/
Marangaroo,6064,915000,750,20.4,11.9,https://reiwa.com.au/suburb/marangaroo/
Mardella,6125,,,,,https://reiwa.com.au/suburb/mardella/
Mariginiup,6078,,1395,,,https://reiwa.com.au/suburb/mariginiup/
Marmion,6020,2300000,1500,37.1,,https://reiwa.com.au/suburb/marmion/
Martin,6110,778000,670,3.7,-5.6,https://reiwa.com.au/suburb/martin/
Maylands,6051,1210000,740,30.6,-1.3,https://reiwa.com.au/suburb/maylands/
Medina,6167,655000,550,19.7,-0.9,https://reiwa.com.au/suburb/medina/
Melaleuca,,,,,,https://reiwa.com.au/suburb/melaleuca/
Melville,6156,1600000,905,16,20.7,https://reiwa.com.au/suburb/melville/
Menora,6050,2470000,,40.5,,https://reiwa.com.au/suburb/menora/
Merriwa,6030,770000,700,14.1,7.7,https://reiwa.com.au/suburb/merriwa/
Middle Swan,6056,740000,670,24.4,11.7,https://reiwa.com.au/suburb/middle-swan/
Midland,6056,681000,650,21.6,10.2,https://reiwa.com.au/suburb/midland/
Midvale,6056,735000,750,21.5,22.5,https://reiwa.com.au/suburb/midvale/
Millendon,6056,,,,,https://reiwa.com.au/suburb/millendon/
Mindarie,6030,1350000,1112,15.4,28.3,https://reiwa.com.au/suburb/mindarie/
Mirrabooka,6061,793000,700,18.1,14.4,https://reiwa.com.au/suburb/mirrabooka/
Morley,6062,920000,750,15,4.2,https://reiwa.com.au/suburb/morley/
Mosman Park,6012,2950000,1050,32.9,19,https://reiwa.com.au/suburb/mosman-park/
Mount Claremont,6010,2300000,1450,7,20.8,https://reiwa.com.au/suburb/mount-claremont/
Mount Hawthorn,6016,1770000,1200,13.8,50,https://reiwa.com.au/suburb/mount-hawthorn/
Mount Helena,6082,920000,710,10.8,1.4,https://reiwa.com.au/suburb/mount-helena/
Mount Lawley,6050,1810000,875,17.6,2.9,https://reiwa.com.au/suburb/mount-lawley/
Mount Nasura,6112,865000,620,33.1,-0.8,https://reiwa.com.au/suburb/mount-nasura/
Mount Pleasant,6153,2220000,880,22.5,-4.6,https://reiwa.com.au/suburb/mount-pleasant/
Mount Richon,6112,875000,600,19,-16.1,https://reiwa.com.au/suburb/mount-richon/
Mullaloo,6027,1360000,900,7.3,14.4,https://reiwa.com.au/suburb/mullaloo/
Mundaring,6073,989000,,9.4,,https://reiwa.com.au/suburb/mundaring/
Mundijong,6123,818000,720,17,5.9,https://reiwa.com.au/suburb/mundijong/
Munster,6166,,,,,https://reiwa.com.au/suburb/munster/
Murdoch,6150,1340000,862,11.7,1.4,https://reiwa.com.au/suburb/murdoch/
Myaree,6154,1370000,950,14,-29.6,https://reiwa.com.au/suburb/myaree/
Naval Base,6165,,,,,https://reiwa.com.au/suburb/naval-base/
Nedlands,6009,2750000,1300,15,17.1,https://reiwa.com.au/suburb/nedlands/
Neerabup,6031,,,,,https://reiwa.com.au/suburb/neerabup/
Nollamara,6061,800000,745,21.2,9.6,https://reiwa.com.au/suburb/nollamara/
Noranda,6062,1110000,710,19.5,-2.1,https://reiwa.com.au/suburb/noranda/
North Beach,6020,2130000,850,32.8,-5.6,https://reiwa.com.au/suburb/north-beach/
North Coogee,6163,1880000,1250,6.2,19,https://reiwa.com.au/suburb/north-coogee/
North Fremantle,6159,1980000,1100,19.7,14.6,https://reiwa.com.au/suburb/north-fremantle/
North Lake,6163,1180000,960,13.5,19.3,https://reiwa.com.au/suburb/north-lake/
North Perth,6006,1670000,950,18.9,20.3,https://reiwa.com.au/suburb/north-perth/
Northbridge,6003,1250000,730,48.5,9,https://reiwa.com.au/suburb/northbridge/
Nowergup,6032,,,,,https://reiwa.com.au/suburb/nowergup/
O'Connor,6163,,,,,https://reiwa.com.au/suburb/oconnor/
